Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689591319,-3.8012650248418054,8.62584631108292,72.68803668253278,-6.8661041259765625,-4.017329216003418,-0.13520357012748718,8.480762,0.041874398,4.835296,-0.06093381,0.0067195175,-0.01740966,65.88848,-0.24576175,-60.31043,629.0,361.0,-2.8445491100097344,9.035789620588076,72.70066409160557,-7.450468357874939,-2.488803902622773,-0.28933790382832913,
1713689591406,-3.0890208224957205,9.472681550847087,72.53313812514808,-7.3539886474609375,-3.3375775814056396,-0.1365371197462082,8.480762,0.041874398,4.835296,-0.047494773,-0.0050396384,0.002443461,65.88848,-0.24576175,-60.31043,631.75,364.0,-2.9951242750600757,9.223624665879962,72.56644968910109,-7.437754795286355,-2.5695434325893083,-0.27480274116517994,
1713689591465,-3.0242498283996406,8.58320973495019,72.70078986322768,-6.5822296142578125,-3.203489303588867,-0.18092221021652222,8.519645,-0.02751746,4.8616176,-0.051159963,-0.0027488936,-0.0036651916,65.811485,0.16073036,-60.289356,633.25,365.25,-3.014010881126201,8.983333371590833,72.67509143997306,-7.325018419021922,-2.6298474841029322,-0.2658723629839516,
1713689591513,-2.0092161783849685,8.273728921347406,72.76499355448071,-6.3246002197265625,-2.4371604919433594,-0.24120277166366577,8.519645,-0.02751746,4.8616176,-0.07666359,-0.030543262,0.0027488936,65.811485,0.16073036,-60.289356,633.5,365.5,-2.324711673135928,8.736253343291175,72.74694580834507,-7.193188842244351,-2.6115181490086363,-0.2635256700345159,
1713689591574,-3.9218374138624186,9.018368343973803,72.58969068114585,-6.8245849609375,-3.7581570148468018,-0.24104350805282593,8.462217,-0.083748795,4.866403,-0.06582073,0.00290161,-0.028252518,65.77376,0.4915465,-60.097904,635.25,367.0,-3.4657754197890958,8.820546746848942,72.62853348604634,-7.144616261592101,-2.720592081652132,-0.26138705613023444,
1713689591631,-3.468778770832805,9.911823591839758,72.92852020667824,-7.519287109375,-3.366438627243042,-0.16677342355251312,8.462217,-0.083748795,4.866403,-0.08277224,-0.011453724,-0.013439035,65.93876,0.4915465,-60.097904,636.0,366.25,-3.467840386284037,9.093449849334098,72.85145938442324,-7.193988313528884,-2.7820281839076784,-0.25238694171374354,
1713689591691,-4.690989373495223,9.079914158046083,73.1411193940407,-6.7761077880859375,-4.305119037628174,-0.19543682038784027,8.462217,-0.083748795,4.866403,-0.089949906,-0.03604105,-0.034972034,65.93876,0.4915465,-60.097904,635.25,367.75,-4.321225756749566,9.090289556717211,73.06997918577396,-7.138922329271965,-2.926912082524875,-0.24696956586629237,
1713689591775,-3.7230612414031263,9.02250507137996,73.55541673420488,-6.6831512451171875,-3.736279010772705,-0.3668500483036041,8.491529,-0.15373886,5.009374,0.04046982,-0.09941832,-0.03176499,65.86535,0.893384,-59.46254,632.5,368.0,-3.887028114487516,9.074367858431899,73.27676027886203,-7.07886333676873,-3.003903048421575,-0.25837318740416776,
1713689591830,-3.579205456638858,9.014461801607471,73.57559390411521,-6.675933837890625,-3.7430481910705566,-0.3654056787490845,8.491529,-0.15373886,5.009374,0.05131268,-0.06811147,0.038789943,65.993835,0.893384,-59.46254,630.5,368.0,-3.651599441991233,9.057835900393199,73.39729604215981,-7.025767516095223,-3.0742141724424146,-0.2685546447918757,
1713689591878,-3.125978831442704,8.780910544851153,74.28238504272939,-6.4126434326171875,-3.7190442085266113,-0.49163907766342163,8.514261,-0.068793654,4.9848475,0.069485925,-0.047800206,0.015118915,66.052315,0.3994986,-59.65229,624.75,368.5,-3.237145378588199,8.976465852159835,73.75696400317005,-6.944973415694034,-3.1355535793104505,-0.2897755340620618,
1713689591931,-6.048623902649685,7.909615563747333,74.29532415450956,-5.7298736572265625,-5.887133598327637,-0.6459428071975708,8.514261,-0.068793654,4.9848475,0.049938235,-0.046731193,0.013897184,66.052315,0.3994986,-59.65229,624.0,369.0,-5.521419973838199,8.65084635331527,73.97287251486794,-6.784854290498068,-3.3972974139205614,-0.3236559181282366,
1713689591991,-4.068109513971448,8.687304540272944,75.20966645011161,-6.20703125,-4.529891490936279,-0.5250736474990845,8.585447,-0.124426775,4.946563,0.061086524,-0.0842994,0.0096211275,66.04284,0.7194584,-60.051315,622.0,369.5,-4.293792817259268,8.662943382355776,74.45376492661231,-6.708711966283212,-3.5050353371232017,-0.3428157639185174,
1713689592040,-3.0420930236681025,8.691647708997476,75.80413777756283,-6.1858673095703125,-3.8339221477508545,-0.3615597188472748,8.585447,-0.124426775,4.946563,0.040775254,-0.13515393,0.020158553,66.02889,0.7194584,-60.051315,621.0,369.0,-3.23161731092729,8.673672671237078,74.97509042342531,-6.639814389386446,-3.5363206693219427,-0.3445987811685716,
1713689592088,-4.804048031689237,7.153430640058453,76.83479169376173,-4.961578369140625,-5.099617958068848,-0.2908732295036316,8.585447,-0.124426775,4.946563,0.0627664,-0.14920384,0.042455133,66.02889,0.7194584,-60.051315,620.25,369.25,-4.574090725276543,7.994306850567099,75.69670031983473,-6.4186657293183735,-3.685029201933819,-0.3394881422585145,
1713689592141,-3.208690055111404,9.168890158312907,77.74492812523185,-6.3761749267578125,-4.0329060554504395,-0.39877453446388245,8.577073,-0.15613168,4.8789654,0.06994407,-0.14508049,0.06811147,66.02938,0.9064915,-60.36713,618.75,369.0,-3.4187189374087086,8.571460811391626,76.56594069154879,-6.413066526382598,-3.718120960480628,-0.3451277556910814,
1713689592197,-2.2963150845574707,8.65866560792245,78.51783950112998,-5.9257049560546875,-3.412527322769165,-0.16688774526119232,8.577073,-0.15613168,4.8789654,0.10873401,-0.11484267,0.061391957,66.02938,0.9064915,-60.36713,618.25,369.25,-2.4727278120462697,8.61582744664365,77.49326328572819,-6.348844714345157,-3.6890513895380312,-0.3281726886065599,
1713689592256,-1.4864560808125407,6.020287485219328,80.36478771509357,-3.680633544921875,-2.793455123901367,0.055541884154081345,8.577073,-0.15613168,4.8789654,0.112399206,-0.110872045,0.076052725,65.81631,0.9064915,-60.36713,619.0,373.5,-1.6285298780547475,7.242883542271727,78.94937852273462,-5.997242604881321,-3.6038578646504775,-0.2916718698129912,
1713689592310,0.06567237117058333,8.617744887411046,81.73381371451461,-5.122467041015625,-1.6936309337615967,0.5030194520950317,8.611171,-0.16031912,4.7515473,0.055283304,-0.13591751,0.04596761,65.85274,0.9338779,-61.110577,619.75,378.0,-0.20511501532842735,7.992007938981761,80.27780278096141,-5.8819695196445645,-3.422147676899897,-0.21607691982426452,
1713689592360,-0.8553129798135459,6.833424234872721,82.89477326176817,-3.728912353515625,-2.2338063716888428,0.4258369505405426,8.611171,-0.16031912,4.7515473,0.004428773,-0.16249016,-0.019700404,65.85274,0.9338779,-61.110577,621.0,379.75,-0.7419275208875593,7.326310047899699,81.47260514041187,-5.598251555308635,-3.3091068029649917,-0.15501491299274425,
1713689592409,-2.018220810944727,7.7708117189697745,84.70494501039612,-4.0893707275390625,-2.773916244506836,0.6266930103302002,8.708678,-0.14596218,4.3968115,0.0627664,-0.16065755,-3.0543262E-4,65.94596,0.8571831,-63.211838,624.5,382.5,-1.7502129493922987,7.594397245475211,82.57154815386619,-5.399419585765538,-3.258196842851239,-0.08065500778136106,
1713689592459,1.0724323640869038,8.442821011846679,85.59794657480577,-4.4283599853515625,-0.7490358352661133,0.8672652244567871,8.708678,-0.14596218,4.3968115,0.08307768,-0.09514226,0.08445212,65.68876,0.8571831,-63.211838,625.0,383.25,0.31846364167198327,8.137241995197536,83.24399156782194,-5.271458722759909,-3.0195130977882543,0.009515830346450593,
1713689592509,-1.6406512545508412,5.137177092432735,87.94278337753813,-2.014892578125,-2.367347478866577,0.7507385015487671,8.708678,-0.14596218,4.3968115,0.1328632,-0.0852157,0.0842994,65.68876,0.8571831,-63.211838,626.75,385.75,-1.0715777616862567,6.119019263928229,84.19912247863124,-4.842326448979032,-2.95747589417518,0.0800245791088219,
1713689592555,0.292157205636314,5.856144026055045,89.1308788471489,-2.3547515869140625,-1.1160192489624023,0.781727135181427,8.897113,-0.10289137,3.9218364,0.11301007,-0.015118915,0.08200866,65.76926,0.60628796,-66.21217,627.5,387.0,-0.19540348145138708,5.935678667833126,84.95466182702626,-4.514527592961087,-2.7823074744835656,0.14677398000313502,
1713689592607,-0.11693981765027317,3.998140727967945,91.45246425842456,-1.042327880859375,-1.3324697017669678,1.128369688987732,8.897113,-0.10289137,3.9218364,0.1001819,-0.09636399,0.0012217305,65.76926,0.60628796,-66.21217,628.0,388.0,-0.15134583024713114,4.513594262216057,85.70794702734581,-4.056980320374501,-2.6443917694811105,0.24014819522883948,
1713689592662,-0.9432845143439723,3.350824867442519,92.70692537230322,-0.607635498046875,-1.777315616607666,1.3758407831192017,8.897113,-0.10289137,3.9218364,0.07284568,6.1086525E-4,0.01450805,65.48229,0.60628796,-66.21217,628.75,388.0,-0.558354669069366,3.5882710353020677,86.39610867573116,-3.602444738747095,-2.561911218094805,0.34818086403666126,
1713689592714,-0.6215840986468748,7.445867684719621,95.25325998343365,-3.1696624755859375,-1.4786118268966675,1.5117167234420776,8.99821,0.0011964113,3.7710886,0.04016439,-0.04230242,-0.009315695,65.49262,-0.00702603,-67.26178,630.5,385.0,-0.5866253961246021,6.5195053509648195,87.16110257626853,-3.5454150859183473,-2.458862448034221,0.4588621218748118,
1713689592768,3.1186913240908742,5.754939021373294,96.21289242685549,-2.1067962646484375,0.8043307065963745,1.3277921676635742,8.99821,0.0011964113,3.7710886,0.01817324,-0.011911872,0.008552114,65.49262,-0.00702603,-67.26178,632.75,385.5,0.8846121262891856,5.9552526843261955,87.88685477888612,-3.355841854957693,-2.148451453818777,0.5415190246800321,
1713689592821,7.126947671827106,6.41750004481754,98.73237494567375,-2.54638671875,3.063429832458496,1.4946233034133911,9.093923,0.040677983,3.7064822,-0.013439035,-0.020922136,0.058948494,65.48925,-0.23733224,-1.1837744,633.75,383.0,3.114548532919355,6.273782258598329,88.71119123762116,-3.249176334376547,-1.6526716531316978,0.6321829948262025,
1713689592871,-2.0799821638889915,6.926999219381741,100.97338946107615,-2.8725433349609375,-2.039872646331787,1.597906231880188,9.093923,0.040677983,3.7064822,-0.0,-0.02733622,0.027183503,65.10731,-0.23733224,-67.82527,634.5,381.0,1.4682208564726238,6.689748202021564,89.60326755796822,-3.199545720950683,-1.6895041173975323,0.7240473423979968,
1713689592922,7.15330324808842,3.0120029619380393,101.79822116999676,-0.7712554931640625,2.9785308837890625,1.6276440620422363,9.093923,0.040677983,3.7064822,-0.020616703,-0.02687807,-0.0143553335,65.10731,-0.23733224,-67.82527,634.0,379.0,3.1098281554050997,4.4440088775730295,90.46904611200405,-2.8795590661220336,-1.24545765214474,0.8100019098487656,
1713689592974,2.9304706213291727,2.669958937823715,104.00686138227923,-0.694366455078125,0.5952112078666687,1.8008713722229004,9.157332,0.07597212,3.6053855,0.00992656,-0.07437284,-0.043066,65.09664,-0.4422889,-68.50966,633.25,376.5,3.0643820662901415,3.420860095181888,91.42091524304121,-2.5916064706031814,-1.070364170458937,0.9042582901420422,
1713689593025,5.456330306829523,0.7377556562871629,105.0158096358133,0.29168701171875,1.931372880935669,1.6921876668930054,9.157332,0.07597212,3.6053855,-0.048563786,-0.030543262,-0.00580322,64.81604,-0.4422889,-68.50966,633.5,375.25,3.631999014663954,1.934309199452495,92.3852349287703,-2.211662003611522,-0.7848241676630511,0.9792100106253212,
1713689593081,5.633541854776391,2.096015758947189,106.50277993062073,-0.4874114990234375,1.9686286449432373,1.7594150304794312,9.058628,0.049052864,3.7776687,-0.08002335,-0.09025534,-0.018325957,64.830795,-0.28635427,-67.36267,633.25,374.25,4.124055484389655,2.0211949811194394,93.42005312792634,-1.9844498093127134,-0.5229021837089064,1.0534269522614994,
1713689593129,-0.4663299583074807,2.567110649318643,108.47068389430233,-0.7201080322265625,-1.1366534233093262,1.6555118560791016,9.058628,0.049052864,3.7776687,-0.07498371,-0.094989546,-0.01572978,64.830795,-0.28635427,-67.36267,634.75,374.25,2.8872326950929077,2.309466723035455,94.60513742814308,-1.817841843271243,-0.5812852224864239,1.1107002317579713,
