Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713690351260,-28.446787229367008,49.04940244149725,80.68252033379795,-30.405654907226562,-12.271055221557617,-61.083744049072266,4.091727,4.834698,7.4398837,-0.11560625,0.0036651916,0.038179077,92.13172,-29.657303,-28.809557,694.5,308.0,-29.838349787209932,48.1942874595919,80.48826602133126,-29.753931941003458,-13.964367669279948,-61.004510854413674,
1713690351335,-29.693579882096735,48.38573589747076,80.60899868691213,-30.014129638671875,-12.93514347076416,-61.17211151123047,4.091727,4.834698,7.4398837,0.021991149,-0.016187929,0.037110064,92.18943,-29.657303,-28.809557,696.0,307.25,-29.761726217151796,48.3100582914756,80.55387695141559,-29.788219354393465,-13.866462797703921,-61.02045385381591,
1713690351397,-29.635822347319063,48.432857566250235,79.93403757130059,-30.177764892578125,-12.982429504394531,-61.30120849609375,4.098307,4.8215375,7.4823565,0.013439035,-0.012370021,0.05787948,92.114456,-29.473555,-28.71082,697.0,307.5,-29.694210618275843,48.391409870081596,80.22322596101517,-29.83955151075632,-13.78236919965677,-61.047160617256004,
1713690351452,-28.83777288103814,48.54136052753503,80.18047649000938,-30.147354125976562,-12.475626945495605,-61.191280364990234,4.098307,4.8215375,7.4823565,-0.007330383,0.012064588,0.0759,92.114456,-29.473555,-28.71082,697.5,307.25,-29.211048053890824,48.49250566195181,80.20191866958181,-29.880112036868393,-13.658065444691516,-61.06086999701392,
1713690351502,-29.66290705194261,48.182059006189995,79.96095233640348,-29.95538330078125,-12.93251895904541,-61.13839340209961,4.098307,4.8215375,7.4823565,0.019242255,0.048716504,0.089949906,91.73164,-29.473555,-28.71082,699.0,307.0,-29.478454734839215,48.26730752336064,80.07340358117537,-29.89003086768548,-13.589047891857005,-61.06824440487374,
1713690351550,-30.998879247785496,47.26405421160648,79.33104054104989,-29.667877197265625,-13.728269577026367,-60.954559326171875,4.085745,4.790431,7.4333034,-0.01695151,0.0013744468,0.10048734,91.67642,-29.456215,-28.795572,700.0,305.5,-30.33105954532604,47.551126319375506,79.61934420747959,-29.860756685776693,-13.60229134379562,-61.05743012063279,
1713690351600,-29.130040161753033,48.44851384227029,79.89116905981146,-30.099456787109375,-12.44794750213623,-60.4361572265625,4.085745,4.790431,7.4333034,-0.026572637,-0.03924809,0.1366811,91.67642,-29.456215,-28.795572,701.5,305.0,-29.68967779747086,48.20077623329354,79.8110402226272,-29.89221126482935,-13.49248447592833,-60.99833158506072,
1713690351645,-31.02269642321781,47.963364434219095,78.7040299128598,-30.227874755859375,-13.68437671661377,-60.37742233276367,4.2053857,4.644469,7.481758,-0.03848451,-0.08735373,0.1704314,91.67642,-29.456215,-28.795572,701.5,304.75,-30.39196197166422,48.02347167250786,78.94907470281869,-29.936443143051214,-13.510738210350661,-60.939267640883955,
1713690351743,-30.10711347851214,47.88682406089718,79.63304325908054,-29.87042236328125,-12.822159767150879,-59.50749588012695,4.2053857,4.644469,7.481758,-0.06078109,-0.22220223,0.31322116,90.21495,-28.419851,-29.339695,704.75,302.25,-30.222268425272333,47.9363488107968,79.58359110428555,-29.927743289868086,-13.445237239669334,-60.80307046385951,
1713690351800,-30.925205148321332,47.27334418228503,79.46215430242557,-29.528457641601562,-13.333447456359863,-59.34014129638672,4.4285164,4.4410787,7.466803,-0.13530666,-0.17837265,0.44241914,88.721855,-27.092857,-30.671928,706.0,302.75,-30.623251816479776,47.49483860467488,79.46710690852325,-29.875127635673262,-13.434603245254698,-60.66390944095236,
1713690351864,-30.748482250246216,47.22799517718929,79.46772778782272,-29.540435791015625,-13.191390037536621,-58.78861999511719,4.4285164,4.4410787,7.466803,-0.1956296,-0.055436023,0.59971696,88.721855,-27.092857,-30.671928,706.5,302.25,-30.68852497768186,47.351489435939456,79.46771596047401,-29.831023795635968,-13.411467607847833,-60.485522678741425,
1713690351918,-30.26718033665808,47.67561050634662,79.1953544444786,-29.791702270507812,-13.237064361572266,-56.958274841308594,4.7856455,4.2370906,7.4189467,-0.17547104,-0.172264,0.54993147,85.35066,-25.637789,-32.824333,706.5,309.25,-30.46268898241616,47.51879404858553,79.1988684326625,-29.82584222255029,-13.394877512654118,-60.14999350342794,
1713690351972,-31.49169970936527,46.7931196163585,78.55338750012346,-29.564285278320312,-14.731927871704102,-55.07405090332031,4.7856455,4.2370906,7.4189467,-0.089949906,-0.23579398,0.56306505,85.35066,-25.637789,-32.824333,701.25,320.0,-30.839124009163953,47.19688191331659,78.56042519595003,-29.791375695166682,-13.522064323732055,-59.6671448596558,
1713690352021,-30.56961582293665,47.181770131522676,79.14004498422966,-29.75079345703125,-14.368329048156738,-53.67605972290039,4.7856455,4.2370906,7.4189467,-0.081855945,-0.15836681,0.6415612,85.35066,-25.637789,-32.824333,697.5,323.5,-30.75174725893429,47.19035997180514,79.13466285134008,-29.786027992294173,-13.602565189611035,-59.097243353491315,
1713690352094,-30.029789665535155,47.64424380718463,79.42427733130562,-30.239761352539062,-14.909456253051758,-50.438175201416016,5.352744,3.5940197,7.3579297,-0.09773844,-0.15989397,0.7125743,82.041695,-21.553648,-36.03513,685.5,335.25,-30.60205209876019,47.32213230816805,79.42183540268982,-29.845818464811646,-13.726883100047397,-58.273550171170555,
1713690352142,-31.186085317400995,46.40722830640287,79.17174904094915,-29.646087646484375,-15.921189308166504,-49.49683380126953,5.352744,3.5940197,7.3579297,-0.058337633,-0.25411993,0.7151705,79.53304,-21.553648,-36.03513,683.5,339.0,-30.705076050883438,47.091604252740716,79.17396367519925,-29.81949904232606,-13.935616306878508,-57.43866571130892,
1713690352196,-32.85309880555063,45.977953065082374,78.01173906669501,-29.8104248046875,-17.375452041625977,-48.230125427246094,5.890531,2.8283165,7.2293153,-0.15225816,-0.19608775,0.74006325,76.65946,-16.872272,-39.173553,680.0,343.5,-31.04278356176021,46.83582683939202,78.02359671386617,-29.818303289481587,-14.262830412744592,-56.56270403530679,
1713690352247,-31.11107656923977,47.55374335631986,78.783276973062,-30.451751708984375,-16.59839630126953,-45.12141799926758,5.890531,2.8283165,7.2293153,-0.1423316,-0.22907446,0.8017606,76.65946,-16.872272,-39.173553,675.25,350.25,-31.05171698260186,46.96302978348885,78.76941301030857,-29.901775618465898,-14.485000935652169,-55.47435259386346,
1713690352295,-32.74062071034676,46.26383687921139,78.0699466889443,-29.812164306640625,-18.326637268066406,-42.551307678222656,5.890531,2.8283165,7.2293153,-0.19685133,-0.27397305,0.72784597,76.65946,-16.872272,-39.173553,670.0,360.5,-31.247878914072118,46.85600371204872,78.08819347717976,-29.889967135452764,-14.85043629201981,-54.24504895461596,
1713690352343,-32.622826532311095,46.90192969894746,77.97391292097711,-30.11968994140625,-18.509363174438477,-40.8260383605957,6.446862,2.0937197,7.140781,-0.1330159,-0.377362,0.75625116,71.87257,-12.27797,-42.076454,667.0,365.25,-31.390326133991042,46.86241179702406,77.97808634085868,-29.920238736175676,-15.198491426212982,-52.96856661891158,
1713690352392,-33.25691886910871,46.36423826483865,77.79358005378666,-29.801254272460938,-19.260967254638672,-39.392215728759766,6.446862,2.0937197,7.140781,-0.08597928,-0.3136793,0.7968737,71.87257,-12.27797,-42.076454,663.5,370.25,-31.56270551269667,46.79844614894127,77.80261028754597,-29.90455962167569,-15.584934122407159,-51.677117299814554,
1713690352438,-33.472377356045904,46.35764826718115,77.3561866175499,-29.607742309570312,-20.505390167236328,-36.62239074707031,6.446862,2.0937197,7.140781,-0.2677117,-0.22418754,0.8481864,71.87257,-12.27797,-42.076454,651.75,386.0,-31.728656249454833,46.74428254742782,77.38268989021388,-29.865446678046048,-16.05299211974067,-50.245037611167376,
1713690352496,-34.83571772097164,45.29422712572791,77.47843239366205,-28.391265869140625,-22.250186920166016,-33.315067291259766,6.81775,1.2251252,6.8685975,-0.22495113,-0.2648101,0.79000145,70.240875,-7.2147884,-44.787136,642.5,402.5,-31.98112095800417,46.588375994756376,77.46942867074976,-29.671187285055694,-16.642499791579535,-48.63457550548936,
1713690352540,-33.24148388335387,45.44102573127242,78.24766511683899,-28.018844604492188,-21.698028564453125,-31.772281646728516,6.81775,1.2251252,6.8685975,-0.115453534,-0.25503623,0.8374963,67.58971,-7.2147884,-44.787136,636.5,409.5,-32.08117340330389,46.47561030631725,78.14601331946042,-29.453450706069397,-17.123406571628884,-47.0305511178973,
1713690352594,-34.505011230720605,45.354335481906375,77.38360627330762,-27.9774169921875,-23.11190414428711,-30.005996704101562,6.81775,1.2251252,6.8685975,-0.12339478,-0.15027285,0.889878,67.58971,-7.2147884,-44.787136,628.75,417.5,-32.26777882715491,46.37343492133991,77.51167845035143,-29.258947147510053,-17.693061935960525,-45.411091707668334,
1713690352641,-34.579402442015855,45.104587338237636,77.71213693460078,-27.351333618164062,-24.107696533203125,-26.62584114074707,7.146165,0.31585258,6.6819572,-0.14172074,-0.129198,0.8454375,66.51207,-1.8491132,-46.922688,613.25,429.25,-32.43818491273345,46.27086362511611,77.66880438936886,-29.00757238802849,-18.303253551505353,-43.62414621325601,
1713690352690,-34.40301465942374,46.24336034235156,77.37583012444948,-27.8165283203125,-24.31235694885254,-24.818939208984375,7.146165,0.31585258,6.6819572,-0.24648413,-0.08735373,0.8437576,66.51207,-1.8491132,-46.922688,607.5,434.5,-32.58001168949351,46.26881743104693,77.4518248802564,-28.850623188702617,-18.874869043302713,-41.83530236429789,
1713690352737,-36.491843894183916,44.16911617893875,77.31490445430984,-26.490280151367188,-26.067794799804688,-21.486940383911133,7.146165,0.31585258,6.6819572,-0.15851954,-0.17623462,0.77763146,63.438354,-1.8491132,-46.922688,598.25,437.0,-32.858774949313116,46.12383104985237,77.3567620809228,-28.53959023880128,-19.559095544643977,-39.899666018645334,
1713690352793,-35.74195771809689,44.74098996372193,76.80816235301441,-26.928146362304688,-25.9175968170166,-20.035526275634766,7.211369,-0.7004988,6.506085,-0.13561209,-0.13561209,0.8136725,62.66783,4.1252184,-47.943275,593.0,437.75,-33.062005734236386,46.04180372553734,77.02054221970917,-28.327243077994947,-20.16394748204049,-38.01009127554054,
1713690352848,-37.159213026795754,43.90976571305924,77.06999590763425,-26.245147705078125,-27.303794860839844,-16.735628128051758,7.211369,-0.7004988,6.506085,-0.11789699,-0.027183503,0.77656245,62.66783,4.1252184,-47.943275,580.0,439.0,-33.3532397884148,45.92698525442751,77.04744080544293,-28.052876066263757,-20.843124906844366,-35.98635962862876,
1713690352895,-36.064748737686614,43.98942006028452,77.96519847565776,-26.00018310546875,-26.8603515625,-15.221648216247559,7.253842,-1.4925231,6.2715883,-0.15027285,-0.10888673,0.7472409,62.435444,8.84697,-49.153687,572.75,439.0,-33.54916729784517,45.829338645437645,77.4811262580054,-27.782383541770994,-21.41551312295448,-34.011118075744434,
1713690352946,-36.523144804854354,43.54151237143683,77.9918987606794,-25.695404052734375,-27.498504638671875,-12.056093215942383,7.253842,-1.4925231,6.2715883,-0.13836098,-0.07895433,0.7125743,58.599144,8.84697,-49.153687,563.0,436.5,-33.77033572821223,45.72221658783094,77.68121740413164,-27.507372928232623,-21.9941572162465,-31.92264804905138,
1713690352998,-36.549562567858,42.75055431957365,78.27827936104566,-25.173583984375,-27.867061614990234,-9.309582710266113,7.253842,-1.4925231,6.2715883,-0.06536258,-0.07223482,0.64751714,58.599144,8.84697,-49.153687,554.0,433.0,-33.98726453183745,45.58554332431497,77.8795526209934,-27.199839129893462,-22.552816788928972,-29.771581973140297,
1713690353046,-37.36963093009903,43.25906028361133,77.25269312337915,-25.707183837890625,-28.712121963500977,-7.690276145935059,7.160522,-2.516053,6.274579,-0.029168816,-0.0027488936,0.6721045,58.306225,14.803262,-48.772762,547.75,431.75,-34.26966031764524,45.48192332243165,77.69786451765057,-27.00314527170682,-23.138720213064975,-27.671099479276403,
1713690353094,-37.453180297831445,42.29373228516529,77.40464871412425,-25.139617919921875,-28.97848129272461,-6.52484130859375,7.160522,-2.516053,6.274579,-0.028099801,-0.19700404,0.63346726,58.306225,14.803262,-48.772762,543.75,429.5,-34.56107286967061,45.34289871410816,77.61892678265794,-26.757579944854236,-23.69422703010566,-25.659563320779792,
1713690353150,-37.39259353571554,41.72043081096564,77.90319381428345,-24.824951171875,-28.98833656311035,-4.126039505004883,7.160522,-2.516053,6.274579,-0.01282817,-0.09773844,0.54382277,55.217476,14.803262,-48.772762,539.5,422.5,-34.865102098780895,45.18424158976442,77.69185763909434,-26.502908814931306,-24.197828786346623,-23.61118854801115,
