Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713690178009,-12.4085162925008,-4.1860578534144075,76.44434663829493,0.46405029296875,-2.98618221282959,29.16122055053711,7.989635,-4.2388854,3.7686956,-0.082619525,-0.004276057,-0.020463986,59.273617,25.633762,-64.74684,761.25,375.25,-12.588514650489708,-3.760158167822495,76.3982064761672,-0.4254366790891405,-3.394366878449995,29.316070401293473,
1713690178079,-14.88701080220957,-3.4823962994728617,75.70886153944402,0.0050048828125,-4.768902778625488,28.619436264038086,8.0404825,-4.2520456,3.7489548,-0.020463986,-0.03145956,-0.0016798794,59.35094,25.607992,-65.00225,761.5,375.25,-13.497643626869321,-3.636758608159015,76.11017004279267,-0.3687154709254563,-3.5251194987025944,29.249803133343672,
1713690178120,-11.369784983302672,-1.8825866219882523,77.18302607108221,-1.3269195556640625,-2.21028208732605,28.648942947387695,8.0404825,-4.2520456,3.7489548,-0.06291912,-0.057726767,-0.04046982,59.35094,25.607992,-65.00225,761.75,373.0,-12.660684851057068,-2.7811000224480003,76.54221038798278,-0.4949823051819738,-3.4000456925388716,29.192646355038224,
1713690178158,-13.172658216853536,-5.207305008097112,76.53534237367481,1.224365234375,-3.4018306732177734,28.752046585083008,8.099107,-4.2502513,3.6532419,-0.07376198,-0.08109236,-0.068264194,59.572178,25.564922,-65.72143,762.75,375.5,-12.866534132389889,-3.9744078561010507,76.53922109612478,-0.2684161964956238,-3.4002154886866744,29.150734336300133,
1713690178203,-13.215620311810255,-4.275381090904259,76.63734382340729,0.5360107421875,-3.4398257732391357,28.78042221069336,8.099107,-4.2502513,3.6532419,-0.07269296,-0.05757405,-0.10903945,59.62066,25.564922,-65.72143,762.5,375.5,-13.010925455093423,-4.115549413400474,76.59060760030248,-0.16241326397223738,-3.403983413914036,29.115508424246315,
1713690178252,-10.776278982404529,-2.8487289832387335,77.57301239365107,-0.4919891357421875,-1.6875616312026978,28.735597610473633,8.099107,-4.2502513,3.6532419,-0.041080687,-0.041996986,-0.2182316,59.62066,25.564922,-65.72143,761.75,375.75,-12.054720469075086,-3.52935360847156,77.28094705950785,-0.20584294939992556,-3.240708925761714,29.079369437729678,
1713690178299,-11.562150652070958,-2.54795956414872,77.60238629431137,-0.6589508056640625,-2.1858489513397217,28.503564834594727,8.082955,-4.1641097,3.5641093,-0.010079277,-0.14049901,-0.3549127,59.702423,25.238283,-66.20533,762.0,376.5,-11.838421988632746,-3.081493218121272,77.55208982762903,-0.2655509964626106,-3.1403654530029046,29.02459606978506,
1713690178333,-14.668508812532721,-1.292201585077429,76.46722925836653,-1.3974761962890625,-4.505669116973877,28.081043243408203,8.082955,-4.1641097,3.5641093,0.01863139,-0.05390886,-0.40530908,59.702423,25.238283,-66.20533,760.0,378.0,-13.081600907458121,-2.291238840343241,76.63784390029629,-0.4147098383770147,-3.270239857506917,28.934840680799024,
1713690178368,-11.75786027456454,-4.373560850680672,77.24360755521666,0.90008544921875,-2.3940773010253906,27.832542419433594,8.082955,-4.1641097,3.5641093,0.04886922,-0.03191771,-0.4802928,59.702423,25.238283,-66.20533,759.75,378.0,-12.490706100021672,-3.17356253449141,77.16053532827338,-0.2414533877896716,-3.1868949626863823,28.82998464469621,
1713690178409,-13.405945545768265,-2.725641955295918,76.77263885659724,-0.0307464599609375,-3.595747232437134,26.361299514770508,8.082955,-4.1641097,3.5641093,-0.066737026,-0.016187929,-0.61743206,60.23081,25.238283,-66.20533,758.0,379.25,-12.911369837121647,-2.9906815774916558,76.81499039067289,-0.21368759430517756,-3.2257870029447036,28.59515116433735,
1713690178484,-14.621928444255236,-4.531328478359198,76.0399884988635,1.66412353515625,-4.500864505767822,23.968826293945312,8.260024,-3.6352959,3.4558342,-0.019394971,-0.22586742,-0.90316427,59.896,22.097414,-67.29651,756.5,380.0,-13.5916906082567,-3.3565396666459564,76.10169976708039,0.03375996976300444,-3.3470786509096477,28.155072372021852,
1713690178532,-15.657302701721989,-5.112185219969991,75.81708554368826,2.292236328125,-5.232147693634033,22.764558792114258,8.260024,-3.6352959,3.4558342,-0.051465396,-0.120493166,-0.9805914,59.896,22.097414,-67.29651,755.75,380.75,-14.376295134600582,-3.75192075584564,75.83540246453754,0.3313694921554607,-3.5263956965115875,27.64230018834142,
1713690178571,-17.46928667253512,-4.968765404274995,75.11848017358112,2.45184326171875,-6.600160598754883,21.206113815307617,8.790632,-2.879762,3.3613176,-0.06352998,-0.1518,-1.0436633,59.32315,17.01348,-69.0744,754.5,381.5,-15.377804411777054,-3.9875069501012272,75.15903947118801,0.6107937967176569,-3.8187873429993022,27.030058461806085,
1713690178610,-13.37081266714487,-5.048035330952329,76.41890908807281,2.7279052734375,-3.567488670349121,19.655933380126953,8.790632,-2.879762,3.3613176,-0.08200866,-0.10262536,-1.073901,61.563637,17.01348,-69.0744,753.75,383.0,-14.903859696078909,-4.140499628420013,76.35120963776512,0.8897750369264996,-3.79488257637166,26.328595388795872,
1713690178651,-16.276140462624305,-5.150556749864755,75.58410150145023,3.4622802734375,-5.684628486633301,15.804210662841797,8.790632,-2.879762,3.3613176,-0.03268129,-0.012980887,-1.0936015,61.563637,17.01348,-69.0744,752.0,386.0,-15.1955711090457,-4.272342704189541,75.62321034305958,1.2287655479210002,-3.974644508633157,25.32746411293088,
1713690178688,-17.1541870887836,-4.357866427502765,75.57727851058485,3.3468017578125,-6.386115074157715,13.932700157165527,8.790632,-2.879762,3.3613176,-0.014660766,-0.17959438,-1.1498011,61.563637,17.01348,-69.0744,749.25,390.0,-15.586708768032278,-4.283051375396395,75.57947833562517,1.5078686443523082,-4.20403545801767,24.2435380807436,
1713690178730,-16.948802613645384,-4.591900799601797,75.74392037041427,3.87823486328125,-6.295106887817383,11.984964370727539,9.073584,-1.7102699,3.121437,-0.036193766,-0.036193766,-1.1887437,60.630817,10.1061,-71.01608,747.5,392.25,-15.811516890280904,-4.309880127111204,75.73420850157126,1.8202223936836899,-4.4029484646163,23.077442213084137,
1713690178767,-17.063174130955375,-2.901691963810734,75.62882971096748,2.9454345703125,-6.474241733551025,10.01225471496582,9.073584,-1.7102699,3.121437,-0.20219639,0.069027774,-1.2218832,60.630817,10.1061,-71.01608,746.25,394.0,-16.0044771273769,-4.207558192889302,75.63588891823993,1.968496630532266,-4.599980075205889,21.8346172717695,
1713690178805,-17.826865601779573,-3.2908831470986373,75.32108690546083,3.611328125,-7.115280628204346,7.911679267883301,9.073584,-1.7102699,3.121437,-0.099571034,-0.0036651916,-1.2588406,64.79765,10.1061,-71.01608,745.25,396.25,-16.283926247713385,-4.146199947278771,75.34381325994893,2.184979878023255,-4.8392478440472635,20.510198880521816,
1713690178860,-17.29337591588753,-1.7104981366795449,75.8224682164352,2.7562255859375,-6.801577568054199,5.68632173538208,9.2177515,-0.31944183,3.0969107,-0.11148291,0.19043724,-1.2324207,63.57934,1.8815231,-71.42907,743.75,398.0,-16.427278165255906,-4.01771498477147,75.78434369637995,2.260255477730839,-5.025914305927748,19.100078723760415,
1713690178897,-16.69400128089175,-1.7974089063115581,75.95253207184768,3.4925537109375,-6.780835151672363,1.1035475730895996,9.2177515,-0.31944183,3.0969107,-0.051618114,-0.09086621,-1.2000448,63.57934,1.8815231,-71.42907,738.75,401.5,-16.464466131326304,-3.9108162702636697,75.93852327402793,2.422640922799518,-5.192851014447125,17.388160102277116,
1713690178940,-14.404856434076416,-1.39731402262159,76.86355922217254,3.4918212890625,-5.394817352294922,-1.4670308828353882,9.2177515,-0.31944183,3.0969107,-0.017256944,0.0804815,-1.1684325,63.57934,1.8815231,-71.42907,735.0,403.0,-16.1941354025618,-3.8013128714430455,76.78104446714198,2.563531597601931,-5.212063046575969,15.594561531041629,
1713690178971,-16.171188488780043,-0.9088175022455869,76.30508873275323,3.47991943359375,-7.361867904663086,-5.925134181976318,9.2177515,-0.31944183,3.0969107,0.03390302,0.070249505,-1.135293,63.57934,1.8815231,-71.42907,726.5,403.0,-16.191217696670773,-3.673955029772516,76.34924024114528,2.6842881178931512,-5.416563065957616,13.54750215546877,
1713690179013,-17.58308207561746,-0.12703991104371282,75.71982727363242,3.0792236328125,-8.63614273071289,-7.995438575744629,9.220144,1.3328022,3.1423743,-0.06582073,0.061086524,-1.065349,67.286095,-7.791118,-71.18006,724.5,403.5,-16.356556932785722,-3.5463470161811514,75.78145808753324,2.736330535576997,-5.722825330351722,11.498231599353819,
1713690179048,-14.267281386583175,-0.6506670734234801,76.85727224564998,3.57135009765625,-6.4794392585754395,-10.33338451385498,9.220144,1.3328022,3.1423743,-0.08781188,0.078343466,-1.0386237,67.286095,-7.791118,-71.18006,721.5,403.5,-16.117907677327498,-3.4507456537028083,76.7468270006843,2.846364794797227,-5.794798171237313,9.421500820051172,
1713690179087,-15.582672489339636,0.12423321897399653,76.3333303435173,3.15081787109375,-7.651099681854248,-12.362238883972168,9.220144,1.3328022,3.1423743,-0.09132435,0.04352415,-1.0135782,67.286095,-7.791118,-71.18006,720.0,404.0,-16.05812991964026,-3.3384461722145553,76.3780657244525,2.8864839371969455,-5.971378707592191,7.3493242804366155,
1713690179126,-14.865568416577197,0.6118600000008638,76.617743707825,2.7939453125,-7.3773698806762695,-14.409969329833984,8.905488,2.649453,3.1926236,-0.094989546,0.05024367,-0.959822,67.18551,-15.645168,-70.27721,717.0,402.75,-15.92396773773266,-3.2233965707538714,76.5910803221021,2.8742897090851725,-6.105123508225843,5.279473173582821,
1713690179164,-13.746644901138225,-0.15738064078238256,76.93705803883411,3.322265625,-6.858151435852051,-16.476152420043945,8.905488,2.649453,3.1926236,-0.021533,0.19303341,-0.9069822,67.18551,-15.645168,-70.27721,713.25,401.25,-15.670517907383733,-3.1395406971818174,76.898297649165,2.933321497434478,-6.176755231084402,3.2099709865260655,
1713690179198,-13.790046843738152,0.6133754852777908,76.71986909940054,2.70050048828125,-7.248297214508057,-18.286338806152344,8.905488,2.649453,3.1926236,0.025961773,-0.05421429,-0.93767816,71.16663,-15.645168,-70.27721,708.5,400.25,-15.443162757026288,-3.039876868217327,76.73998063697293,2.9026416326307234,-6.278685578647839,1.1651361948007595,
1713690179235,-13.315399502676362,0.5210190073218164,76.68948228429005,2.78070068359375,-7.184998035430908,-20.31500244140625,8.905488,2.649453,3.1926236,0.03924809,-0.043982297,-0.9071349,71.16663,-15.645168,-70.27721,705.5,400.0,-15.175417908349297,-2.94553869607809,76.69521765118053,2.886572928847923,-6.364898480382037,-0.8781603169269996,
1713690179273,-12.777883972987523,-0.9413879061730057,76.90562189123774,3.684814453125,-7.05718469619751,-21.954362869262695,8.289934,3.7417765,3.3780673,-0.0125227375,0.09941832,-0.76251256,72.05304,-22.684563,-67.82958,701.0,397.5,-14.859513957169938,-2.894458467094924,76.88130972539324,2.991760781673722,-6.430752152644124,-2.883032440194621,
1713690179314,-13.911572805428454,1.3484277479359066,76.54768157639796,1.923828125,-8.104764938354492,-23.838912963867188,8.289934,3.7417765,3.3780673,-0.04016439,0.024587326,-0.74296486,72.05304,-22.684563,-67.82958,698.0,396.25,-14.72982637642571,-2.7890475875344807,76.58706487139709,2.851034523139635,-6.589992488265796,-4.876458939874088,
1713690179348,-11.54735584507059,-1.7697542701721733,77.76317114728234,4.36358642578125,-6.580673694610596,-26.327816009521484,8.289934,3.7417765,3.3780673,-0.08323039,-0.10064005,-0.67363167,72.05304,-22.684563,-67.82958,696.75,398.5,-14.282174163849966,-2.763511525830709,77.6217659543927,3.0503502466238746,-6.5891060387464675,-6.917017607328617,
1713690179383,-10.810710838770154,-0.6743205387300621,77.8440287104491,3.5777587890625,-6.315953731536865,-29.238758087158203,8.289934,3.7417765,3.3780673,-0.08124508,-0.025350908,-0.5757405,72.05304,-22.684563,-67.82958,694.75,398.5,-13.78228237235009,-2.7102623759657054,77.81685072500575,3.119849227137755,-6.5631224468365446,-9.040371428762889,
1713690179422,-9.85994628327914,0.2046741178608027,78.16281195117493,2.88525390625,-5.722519874572754,-30.987991333007812,8.000402,4.5768714,3.3876386,0.0015271631,-0.028252518,-0.46929723,76.13923,-27.780245,-67.050575,694.0,397.25,-13.226560574457181,-2.6369633439824702,78.11846351384828,3.08893555334772,-6.4831601927400655,-11.128137059636362,
1713690179461,-12.344197777265022,-0.5772125483886121,77.35833063653578,3.48095703125,-7.659098148345947,-31.979183197021484,8.000402,4.5768714,3.3876386,0.0038179078,-0.025198191,-0.3408628,76.13923,-27.780245,-67.050575,692.5,398.0,-13.103552427101269,-2.584644633345362,77.45644120283127,3.140593975351614,-6.595021199011581,-13.111591196500202,
1713690179498,-9.053305012104843,-0.0844816539111024,78.34088747359455,3.1781005859375,-5.453169345855713,-33.42803192138672,8.000402,4.5768714,3.3876386,0.020616703,0.03573562,-0.31245756,76.13923,-27.780245,-67.050575,691.75,399.5,-12.544081174420748,-2.519704763008106,78.23409376751474,3.145536389037592,-6.486402630575969,-15.044191035214034,
1713690179539,-12.89616441338044,-0.9127549927617302,77.2574345556462,3.80657958984375,-8.299888610839844,-33.99367904663086,7.617551,5.026124,3.3984063,0.029626964,-0.05589417,-0.28771752,76.94989,-31.071627,-65.95699,690.75,400.0,-12.590954168020815,-2.477021683269595,77.3645824413764,3.232645005669464,-6.6589103429468,-16.846759603718958,
1713690179577,-12.723051264586156,-2.017370738472432,77.39584712631314,4.647216796875,-8.269336700439453,-34.7362060546875,7.617551,5.026124,3.3984063,0.044135015,-0.056963183,-0.28893927,76.94989,-31.071627,-65.95699,690.0,401.0,-12.607463423664335,-2.4644595143477788,77.39275840679767,3.4190494520174664,-6.812102024545752,-18.548491801498628,
1713690179615,-9.755231135700487,0.28424442975176056,78.03235476496965,2.945068359375,-6.264156341552734,-35.51841735839844,7.617551,5.026124,3.3984063,0.07895433,0.036651913,-0.2660318,79.0805,-31.071627,-65.95699,689.0,401.5,-12.269360079106919,-2.3860837713878063,77.97793866750108,3.3565908453191495,-6.7599787342058715,-20.162754645977923,
1713690179651,-10.562676382430737,1.171779205316637,77.8962156474127,2.318359375,-7.069686412811279,-36.561737060546875,7.617551,5.026124,3.3984063,0.113162786,0.021227567,-0.25595254,79.0805,-31.071627,-65.95699,686.5,403.5,-12.068807512676413,-2.2792086773462876,77.90218178817138,3.219778444839297,-6.789439652967496,-21.72270656859226,
1713690179687,-8.774622989806005,0.35397938093888826,78.35714326895872,2.9044189453125,-5.937642574310303,-37.28531265258789,7.3627152,5.529215,3.4217365,0.058337633,0.022602014,-0.2302962,79.890015,-34.25577,-65.0739,685.0,404.5,-11.701244840895805,-2.1967142303320206,78.32741906384159,3.178222114312037,-6.708412522323823,-23.203098258021157,
1713690179726,-8.06710422427975,-0.5065154309647601,78.67965361084775,3.5028076171875,-5.534787178039551,-37.94023895263672,7.3627152,5.529215,3.4217365,-0.046731193,0.1133155,-0.10919216,79.890015,-34.25577,-65.0739,683.75,405.0,-11.312531128212944,-2.1413748610273045,78.65921583040209,3.2209941965296003,-6.596771503023829,-24.604967616694275,
1713690179759,-11.064713368822357,-2.1509824447797143,77.92062251494913,4.69146728515625,-7.717093467712402,-38.01226806640625,7.3627152,5.529215,3.4217365,-0.036957346,0.08979719,-0.064751714,79.890015,-34.25577,-65.0739,682.75,405.25,-11.286443682974276,-2.1417047463604724,77.95961324468213,3.4147650066498065,-6.703342042498912,-25.880336025835042,
1713690179807,-5.113573091662481,1.5016382875338983,78.92214248932227,2.065673828125,-3.580143451690674,-38.898136138916016,7.1688967,5.6949177,3.403192,-0.047800206,0.0888809,-0.04520403,81.608376,-35.664574,-64.605545,683.25,405.75,-10.688656234026991,-2.0059984423682367,78.87753909351382,3.2369892332536923,-6.406248020243644,-27.118653245845522,
1713690179851,-6.715985381822689,1.8472821493542262,78.73044344669202,1.738037109375,-4.655524253845215,-39.306427001953125,7.1688967,5.6949177,3.403192,-0.012675454,0.11636983,0.0106901415,81.608376,-35.664574,-64.605545,683.25,404.0,-10.322500430512232,-1.8531697082704663,78.73685762498832,3.0394656133915654,-6.239710558569585,-28.27801427341379,
1713690179889,-11.152757148485582,-0.5263375145133926,77.85148568513792,3.326904296875,-7.722386360168457,-39.14608383178711,7.1688967,5.6949177,3.403192,0.01038471,0.110413894,0.008399397,81.608376,-35.664574,-64.605545,682.5,401.5,-10.397550274081143,-1.7968456576777223,77.88858615659235,3.077342693216596,-6.380749978507198,-29.311838542145797,
1713690179925,-10.071740688065912,0.07308795798804457,77.92545760626477,2.7705078125,-6.881176948547363,-39.1881103515625,7.1688967,5.6949177,3.403192,-0.02275473,0.1601994,0.032070424,81.608376,-35.664574,-64.605545,682.5,399.0,-10.368677537453667,-1.7097240164669385,77.92395078628593,3.0369096898046664,-6.428353054985205,-30.251318127395802,
1713690179960,-9.117606383983793,-0.5567980203456919,78.1412198133601,3.0335693359375,-6.090469837188721,-39.176082611083984,7.0929246,5.651847,3.542574,-0.024129177,0.19822577,0.05971208,82.23096,-35.48362,-63.46008,682.0,395.25,-10.2579694339298,-1.6525165254134162,78.13230352144532,3.036469516448258,-6.396211940256496,-31.100285652529614,
1713690180000,-5.820356421956349,1.5715060390960656,78.58710132459996,1.2969970703125,-3.677187442779541,-39.42848587036133,7.0929246,5.651847,3.542574,0.021227567,-0.094225965,4.5814895E-4,82.9679,-35.48362,-63.46008,681.5,391.5,-9.87022620515674,-1.4762029825367902,78.56766190599815,2.807251458888089,-6.137564947092674,-31.892505048422247,
1713690180094,-10.387982514997946,-1.5146584767535964,78.02165870428576,3.30126953125,-6.76792573928833,-39.17924118041992,7.0983086,5.633901,3.6664026,-0.063682705,0.08781188,0.06261369,83.36061,-35.190845,-62.682846,680.25,387.25,-9.914924520240971,-1.4790867172065723,78.04842220369751,2.872350427945043,-6.1975279682648114,-32.58565525441275,
1713690180138,-10.63999212420342,-1.4583679017729003,77.67660288608653,2.79986572265625,-6.679847717285156,-38.995487213134766,7.0983086,5.633901,3.6664026,0.007483099,-0.01786781,0.012675454,83.36061,-35.190845,-62.682846,679.25,378.0,-9.979407336782627,-1.4773192846593812,77.69686493634545,2.862798794410388,-6.243408596756169,-33.195390019343044,
