Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713690008481,-38.24432003672137,34.482637175646744,84.64327754828784,-25.910919189453125,-21.53341293334961,-26.407384872436523,6.53779,0.27816564,7.292725,0.010842858,-0.010537425,0.018325957,67.777565,-1.6268219,-41.87562,633.5,305.0,-38.75065667030712,34.32948619954038,84.20110853015572,-25.975114858236463,-21.909926560626555,-26.318161616110803,
1713690008563,-39.533096207507974,33.57994407641564,84.51078868758158,-25.43988037109375,-22.369489669799805,-26.463050842285156,6.53779,0.27816564,7.292725,-0.05589417,-0.02321288,-0.0033597588,67.777565,-1.6268219,-41.87562,632.5,305.5,-39.08383539142006,33.84260256563667,84.29720937125015,-25.90458461801644,-21.9536424655281,-26.331944192445295,
1713690008642,-39.087358436982015,33.51988798335431,85.26412253580547,-25.196029663085938,-22.015596389770508,-26.26093864440918,6.47438,0.22911277,7.222735,0.034055736,-0.030085113,-0.004581489,67.75413,-1.3531,-41.8727,632.5,306.0,-39.085540846855125,33.613487759638154,84.62956835719105,-25.811215165223665,-21.95953582773755,-26.325189795228745,
1713690008698,-39.68514012123431,33.68150745450735,84.28037738753794,-25.482955932617188,-22.514631271362305,-26.53143882751465,6.47438,0.22911277,7.222735,-0.041080687,-0.06429356,9.162979E-4,67.75413,-1.3531,-41.8727,632.5,306.75,-39.36735648353218,33.663310163579396,84.51160842737363,-25.76795897922233,-22.01233923849965,-26.344809218331847,
1713690008744,-39.32665086485609,34.355508910420085,84.0439009077833,-25.89892578125,-22.3757381439209,-26.32809066772461,6.47438,0.22911277,7.222735,-0.029168816,-0.034972034,0.020005837,67.75413,-1.3531,-41.8727,632.0,307.5,-39.347903222315054,34.186149677309906,84.34599312450455,-25.785217059988334,-22.04690753102274,-26.34321886750984,
1713690008783,-38.88142934928295,34.317844768226145,84.78607840696267,-25.666122436523438,-22.0224552154541,-26.126708984375,6.3978095,0.2015953,7.1659055,-0.041233405,-0.03726278,0.029932396,67.703415,-1.2022103,-41.758877,632.0,308.0,-39.1230705075861,34.2832541259141,84.48177561042344,-25.76952342924579,-22.044581506412225,-26.322623381770363,
1713690008839,-40.37860107463284,33.31452372662414,83.94151074123968,-25.268142700195312,-23.13694953918457,-26.406850814819336,6.3978095,0.2015953,7.1659055,-0.025503624,-0.033292156,0.04444045,67.71891,-1.2022103,-41.758877,630.75,309.25,-39.74684439540257,33.56820929471742,84.33333456153008,-25.703454250014836,-22.148492930294953,-26.33063550976709,
1713690008873,-39.80631074972091,32.99391893024125,84.61129749862862,-24.908859252929688,-22.753541946411133,-26.263851165771484,6.3978095,0.2015953,7.1659055,-0.0035124752,-0.041691553,0.03970624,67.71891,-1.2022103,-41.758877,630.5,309.5,-39.77675497168062,33.15345504747987,84.41025369043595,-25.598746916372672,-22.206048170742545,-26.324282654255526,
1713690008905,-40.02581000995654,32.968184402623876,84.38919552162179,-24.942855834960938,-22.91402244567871,-26.075088500976562,6.4701924,0.22313072,7.0462646,0.01450805,-0.21975878,0.032528576,67.819984,-1.3361688,-42.55953,630.75,309.5,-39.90409934099321,33.00760148858423,84.40496448619483,-25.51231721753713,-22.273394168404387,-26.30057807986886,
1713690008936,-39.85498552130964,33.1636912201821,84.3668447544876,-25.080764770507812,-22.856807708740234,-26.01244354248047,6.4701924,0.22313072,7.0462646,-0.027183503,-0.1591304,0.059864793,67.819984,-1.3361688,-42.55953,630.0,309.5,-39.87906951701426,33.14115663642191,84.39610932218952,-25.455449623075864,-22.328891335906537,-26.273169304482206,
