Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689478123,-51.036646036367934,7.085542136263094,157.90236424707547,-1.4811553955078125,-17.788211822509766,-5.728273868560791,9.130413,-0.17168503,3.5635111,-0.063224554,-0.03145956,0.017562376,57.424324,1.0035349,-68.67979,651.0,381.5,-51.45853844826056,7.691746272692474,156.69685596236485,-1.613279607384551,-18.963301853728534,-6.3146983330417275,
1713689478190,-57.60644458131329,7.846463523911877,153.88143307177486,-1.755767822265625,-20.285297393798828,-5.843477725982666,9.130413,-0.17168503,3.5635111,0.012217305,-0.016798794,-0.0047342055,57.38093,1.0035349,-68.67979,652.5,382.25,-56.16102451802325,7.793565048263977,156.06727481980852,-1.632055916208995,-19.08905657632572,-6.269873509563398,
1713689478239,-56.55697948361153,6.72399871403227,154.9579760163224,-1.3100128173828125,-19.82404136657715,-5.698657035827637,9.130413,-0.17168503,3.5635111,9.162979E-4,0.029168816,-0.0030543262,57.38093,1.0035349,-68.67979,652.5,382.5,-56.45682946009428,7.094560114813987,155.83833948996008,-1.5896188579344692,-19.158971947149364,-6.215536587069875,
1713689478287,-54.50452457503656,4.496048842041317,154.56621081509678,-0.472320556640625,-19.26442527770996,-5.340745449066162,9.092128,-0.17467605,3.5431721,0.008246681,0.029168816,0.0018325958,57.381565,1.0255187,-68.709305,651.5,383.0,-55.019666149098086,5.452473457715339,155.60351239792192,-1.4423874678042092,-19.169003186990683,-6.132322148325033,
1713689478345,-53.0253783867482,9.070522073556534,155.93406349901923,-2.1222991943359375,-18.626977920532227,-5.527458190917969,9.092128,-0.17467605,3.5431721,0.027794369,0.01817324,-0.011453724,57.381565,1.0255187,-68.709305,651.25,383.25,-53.54391234723077,7.645250901384781,155.65923758112797,-1.531982474390373,-19.117443075811696,-6.074784511572706,
1713689478435,-49.91430658655288,7.287970309876242,158.1669019296824,-1.4326019287109375,-17.45134735107422,-5.749922275543213,9.071789,-0.21296121,3.5401812,-0.0013744468,-0.0022907446,0.0,57.270638,1.2527964,-68.68224,650.25,383.5,-50.89891028967371,7.462998546335791,156.0334980977362,-1.5188866557756457,-18.95895584999732,-6.043882016718587,
1713689478484,-51.65455510130282,5.742545898262702,156.6028650597587,-0.910064697265625,-18.227235794067383,-5.510129928588867,9.071789,-0.21296121,3.5401812,-0.030848695,0.04718934,0.0065668016,57.270638,1.2527964,-68.68224,649.5,383.25,-51.46403819930408,6.657392462647763,156.1150634356762,-1.4386594656067748,-18.88935103677127,-5.993108890982587,
1713689478541,-54.14156476561799,10.856808507331282,152.90254845546886,-2.835784912109375,-19.503223419189453,-5.738254547119141,8.989835,-0.18783657,3.4540396,-0.054825157,-0.012064588,0.013591751,57.26474,1.1173689,-68.982414,648.25,383.75,-53.45286708875506,8.422877535959627,155.6695339274996,-1.6227649291492632,-18.947745599249874,-5.968865891408223,
1713689478602,-44.73964779869457,7.811897995641553,159.52189807863752,-1.6276092529296875,-15.796745300292969,-5.731969356536865,8.989835,-0.18783657,3.4540396,-0.037873644,0.0071776668,0.0022907446,57.26772,1.1173689,-68.982414,647.25,383.5,-47.20425083920738,8.166620978815157,156.19867080078848,-1.6234032873420636,-18.64800694167626,-5.946331127013028,
1713689478664,-56.388747905038535,4.312009674865618,150.82258900564486,-0.459259033203125,-20.689014434814453,-5.742027759552002,8.989835,-0.18783657,3.4540396,0.019242255,0.006414085,0.01695151,57.26772,1.1173689,-68.982414,645.5,383.25,-53.4657786638497,6.480731963032641,155.41393645998573,-1.4699987966607935,-18.84215762020633,-5.926896785124579,
1713689478745,-47.695911080403455,3.5484507215486305,155.3619293632573,-0.218414306640625,-17.464078903198242,-5.630271911621094,9.071191,-0.0065802624,3.6520455,0.09972375,-0.006414085,0.01572978,57.24262,0.038555153,-68.070366,642.5,382.5,-49.328135048626876,5.384162569145145,155.40531838103388,-1.3050719153456136,-18.711067989778968,-5.898680367177456,
1713689478810,-46.16433279645748,4.3570631069904495,155.5920082773067,-0.5865936279296875,-17.1317195892334,-5.771587371826172,9.230313,-0.014955142,3.6149569,0.08093964,0.09483683,0.0729984,57.565598,0.038555153,-68.070366,639.0,381.75,-46.8764965252952,4.954462987939036,155.44452751485397,-1.210394820685971,-18.56083259640967,-5.886590655911413,
1713689478853,-49.39911086321014,10.954652857987309,152.56818302234143,-3.1110076904296875,-18.534088134765625,-5.704268932342529,9.230313,-0.014955142,3.6149569,0.105832405,0.21181752,0.033292156,57.55797,0.086439036,-68.61272,638.25,381.25,-48.64917790461569,8.006262580781335,154.7138416560538,-1.460847071967284,-18.558288531582583,-5.8692473161830305,
1713689478912,-47.36309203164679,8.870880930294916,154.0929122774183,-2.3756561279296875,-17.812971115112305,-5.448732852935791,9.230313,-0.014955142,3.6149569,0.06169739,0.044898596,-0.019242255,57.55797,0.086439036,-68.61272,636.25,380.25,-47.807872197003796,8.500989202461678,154.5324545894718,-1.5813955493587957,-18.4873902704961,-5.829245910678328,
1713689478963,-52.83981225952725,8.113535087213045,149.1207540396854,-2.2541961669921875,-20.291065216064453,-5.402997016906738,9.17468,0.11246266,3.1986058,0.13942999,0.067500606,-0.08200866,57.42036,-0.6631506,-70.77971,634.75,379.25,-51.11581573992284,8.287560809319897,153.06355588316285,-1.6700534933473905,-18.65896470895705,-5.788699017917439,
1713689479007,-44.10449996639728,10.93400082089374,153.4202507686849,-3.5413055419921875,-16.693241119384766,-5.295157432556152,9.17468,0.11246266,3.1986058,0.050701816,0.048563786,-0.10125092,57.42036,-0.6631506,-70.77971,636.75,374.0,-46.38356470814727,9.613796306019902,153.14900842671526,-1.9166367380252263,-18.471975405879476,-5.741750913119761,
