Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689846843,84.81395338785482,-18.798993743703758,122.33486885574425,10.115966796875,33.18657684326172,18.172082901000977,8.9108715,-0.07238288,4.0504503,0.020463986,9.162979E-4,-0.03680463,50.126324,0.42368755,-65.555756,630.25,378.0,84.74394225733894,-18.70030590137681,122.50882642909724,10.21141533246362,33.202288529416535,18.375824705403726,
1713689846885,86.09516704396528,-16.802156110879356,119.6176317780431,9.440673828125,34.23396301269531,18.462730407714844,8.9108715,-0.07238288,4.0504503,-0.04260785,-0.026419923,0.016187929,50.126324,0.42368755,-65.555756,630.0,378.5,85.62035178110754,-17.513275527657694,121.1387377038744,10.109851280156859,33.30042648413945,18.38409160355504,
1713689846945,85.2291631386667,-18.53935355840501,120.27424876824605,10.198486328125,33.791656494140625,18.219898223876953,8.966505,-0.10289137,4.0325046,-0.039095376,-0.0035124752,0.010995574,50.29353,0.5996031,-65.78513,630.5,378.75,85.35000936956446,-18.14185553949008,120.70398907478163,10.121531116518822,33.34715470051137,18.36847272112476,
1713689846980,84.53502250817994,-19.99322249346116,121.87613063541517,10.774658203125,33.194297790527344,18.220457077026367,8.966505,-0.10289137,4.0325046,-0.0010690142,-0.049785517,-0.015271631,50.29353,0.5996031,-65.78513,630.5,379.25,84.77690392499927,-19.253197216839496,121.2781220817874,10.20759659140713,33.33261419887618,18.35439274452919,
1713689847022,85.69837387022794,-19.389311210050582,119.65303316349436,10.672607421875,33.974117279052734,18.219614028930664,8.966505,-0.10289137,4.0325046,-0.03283401,-0.027794369,0.0015271631,50.29353,0.5996031,-65.78513,629.25,378.75,85.45177425122517,-19.334647720625483,120.49264884676764,10.268873146572504,33.393637129323096,18.341571929724324,
1713689847062,85.25413463030803,-18.51711049254324,120.2647257851933,10.234375,33.68889236450195,18.19723892211914,8.958728,-0.10289137,3.9601214,-0.028099801,-0.019394971,1.5271631E-4,50.28952,0.60184216,-66.152626,628.5,378.75,85.30813534060005,-18.859223928120127,120.3865931645366,10.264327171633756,33.42172326053146,18.327842263637823,
1713689847109,84.83099271780844,-18.771797311935458,122.34877721081808,10.283203125,33.113338470458984,18.07636260986328,8.958728,-0.10289137,3.9601214,0.0010690142,-0.01695151,-0.013286319,50.28952,0.60184216,-66.152626,628.25,380.0,84.96991909485249,-18.810088223934567,121.26893589390272,10.266814540361452,33.39238818143831,18.30392028119485,
1713689847145,85.40106574383267,-16.405777947729927,120.6642965909854,9.3563232421875,33.73754119873047,18.31937026977539,8.958728,-0.10289137,3.9601214,0.010842858,-0.005955936,-0.007330383,50.41816,0.60184216,-66.152626,628.25,380.5,85.26574159480737,-17.470925617103855,120.99438894644952,10.146835033208866,33.4252208352768,18.30538996015305,
1713689847191,84.6537537662493,-18.99372007726236,122.6197214839307,10.45074462890625,33.02037811279297,18.166109085083008,8.907881,-0.015553347,3.9194436,-0.019700404,0.008857546,0.021838432,50.401104,0.09156779,-66.25063,628.25,381.25,84.85193078439191,-18.340657204355754,121.6814342633358,10.186882558741337,33.38671020288939,18.29214087777975,
1713689847225,85.62919653173844,-17.548011357984365,121.66497476142457,9.89971923828125,33.561771392822266,17.88084602355957,8.907881,-0.015553347,3.9194436,-0.029474247,0.013591751,0.024129177,50.401104,0.09156779,-66.25063,628.0,381.75,85.3926115444442,-17.88369623042349,121.67510344281646,10.14904176473243,33.40336288492217,18.253016486864365,
