Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689658190,-61.90713709617926,11.931487623008827,100.33530792450992,-8.355636596679688,-36.07082748413086,-13.370426177978516,8.937791,-0.5413761,4.0755754,-0.043982297,-0.0018325958,-0.03313944,71.67334,3.1545072,-65.48732,561.0,361.75,-61.91648429750699,12.056500098034059,100.2858721917646,-8.647706701052293,-36.043988144581704,-13.308728288042543,
1713689658257,-61.7176299616964,12.835903947675126,100.6924840921623,-8.781997680664062,-35.83066940307617,-13.189062118530273,8.964112,-0.75972116,3.9194436,-0.04520403,0.013286319,0.0106901415,71.72363,4.440285,-66.38326,562.0,362.0,-61.75467138677442,12.361291508084243,100.4741394640894,-8.665402823553597,-36.02369621594072,-13.29734505300494,
1713689658312,-61.158493125291045,13.379639420649324,101.52530680322702,-9.010665893554688,-35.38716125488281,-13.286938667297363,8.964112,-0.75972116,3.9194436,0.05467244,-0.013897184,-0.06246097,71.84151,4.440285,-66.38326,562.0,362.25,-61.27241500640146,12.68557655915302,100.87379515144835,-8.71089968119496,-35.96314587743731,-13.296355146376492,
1713689658364,-60.485976634826756,12.046892344582602,102.0449550498397,-8.238143920898438,-35.05466842651367,-13.254294395446777,8.964112,-0.75972116,3.9194436,0.028863383,0.040011674,-0.014202617,71.84151,4.440285,-66.38326,561.5,362.25,-60.63528303303299,12.50245501081325,101.30453967500411,-8.648602542015617,-35.876727030804425,-13.292354120726198,
1713689658424,-60.22103477085048,14.323703117005234,101.85393698025318,-9.5107421875,-34.964839935302734,-13.216814994812012,9.013762,-0.7160522,3.9050865,0.1151481,0.057421334,-0.009773844,71.8555,4.1690927,-66.576004,560.75,362.25,-60.3106822458314,12.990051824165484,101.48966965393896,-8.762210535820033,-35.78998384199709,-13.28516846726774,
1713689658476,-60.6583686475082,13.534891424226236,101.07294449550218,-9.15771484375,-35.469520568847656,-13.56192398071289,9.013762,-0.7160522,3.9050865,0.19898935,0.071013086,-0.023518313,71.67576,4.1690927,-66.576004,558.75,363.0,-60.58079094037323,13.136398063653973,101.35655999881227,-8.814327905900704,-35.7594997981437,-13.31149481388967,
1713689658526,-60.90567610968889,12.594580075800277,100.75628780979541,-8.6058349609375,-35.86652374267578,-13.683218955993652,8.921639,-0.7639086,3.9924245,0.17104226,0.05879578,-0.02076942,71.62301,4.4689,-65.89153,555.75,364.75,-60.8475451741153,12.983195386085395,101.1640223772871,-8.78685385883222,-35.7696804425165,-13.346855043902607,
1713689658588,-60.68409022757767,12.203964161606773,100.91834647566505,-8.425003051757812,-35.902862548828125,-13.72735595703125,8.921639,-0.7639086,3.9924245,0.20769419,0.04596761,0.0025961774,71.62301,4.4689,-65.89153,553.0,364.75,-60.70474323085818,12.764055777359042,101.08280577335938,-8.739171160949633,-35.78234937998753,-13.383050163574437,
1713689658644,-59.40255154955097,10.903191006708393,102.44415570438815,-7.6046905517578125,-35.13481140136719,-13.748479843139648,8.910274,-0.8063812,3.9930227,0.088728175,-0.022449298,0.0050396384,71.61888,4.7211456,-65.861084,551.5,365.0,-59.54900243483192,12.246073494911048,101.54413007672728,-8.589675581323572,-35.720752380297036,-13.417811633329514,
1713689658700,-58.890652553870574,12.945679486224972,101.98005020092394,-8.922760009765625,-34.7277717590332,-13.975785255432129,8.910274,-0.8063812,3.9930227,0.18219055,0.028099801,-0.05589417,71.44061,4.7211456,-65.861084,555.0,362.0,-58.96335541908463,12.432375809105901,101.69618722227465,-8.633567604942938,-35.626295176179106,-13.47088883059474,
1713689658798,-57.26194672244924,12.419527097575418,102.15335616836981,-8.67864990234375,-34.08807373046875,-14.089816093444824,8.888738,-0.73519474,4.022933,0.14294247,0.09437868,0.02275473,71.427635,4.3092437,-65.64908,553.5,361.5,-57.43635504372617,12.428967582214428,101.86379185091357,-8.639508300734654,-35.479971981179474,-13.52976423818001,
