Timestamp(ms),CamLinPositionsX(cm),CamLinPositionsY(cm),CamLinPositionsZ(cm),CamAngPositionsPhi(deg),CamAngPositionsTheta(deg),CamAngPositionsPsi(deg),ImuAccelX(m/s^2),ImuAccelY(m/s^2),ImuAccelZ(m/s^2),ImuGyroX(rad/s),ImuGyroY(rad/s),ImuGyroZ(rad/s),ImuOrientationPhi(deg),ImuOrientationTheta(deg),ImuOrientationPsi(deg),CentroidBaseX(px),CentroidBaseY(px),KalmanFiltered_X,KalmanFiltered_Y,KalmanFiltered_Z,KalmanFiltered_Phi,KalmanFiltered_Theta,KalmanFiltered_Psi
1713689962338,-45.8201833867307,-4.407019482670062,81.29732174776989,3.83416748046875,-30.013641357421875,-11.303783416748047,9.190233,0.0634098,3.4713874,-0.00992656,0.007330383,-0.0015271631,65.00084,-0.3698152,-69.30716,628.0,380.0,-45.72514224678838,-4.275739322171703,81.62628183542799,3.118831228479002,-30.108906034955577,-11.474419833189456,
1713689962393,-46.24721226178956,-2.9341019165478404,80.60504184919311,2.870361328125,-30.406038284301758,-11.414527893066406,9.190233,0.0634098,3.4713874,-0.00992656,-0.0096211275,-0.002443461,65.00084,-0.3698152,-69.30716,629.0,380.5,-45.94217939195163,-3.354410368841415,81.24293489048617,3.086089239350151,-30.13717071699015,-11.46872261705847,
1713689962434,-45.64627166266829,-3.281288936022574,81.51403763459255,3.1705322265625,-29.838058471679688,-11.302924156188965,9.190233,0.0634098,3.4713874,-0.004886922,-0.023060163,-0.0071776668,65.26935,-0.3698152,-69.30716,629.0,381.75,-45.82285104282086,-3.3050880622129704,81.3683863239166,3.097216669132895,-30.10871768799397,-11.452951051405098,
1713689962478,-45.61852946386113,-3.671243651754234,81.05789977653863,3.51226806640625,-29.98851203918457,-11.436023712158203,9.182457,0.08255238,3.4301112,-0.02443461,-0.008399397,0.010995574,65.24425,-0.4825233,-69.51681,628.5,382.75,-45.74178072073852,-3.5205733056150788,81.23310878970939,3.151909846528133,-30.09728313503032,-11.451340839580034,
1713689962522,-45.38450578818791,-2.715132217594107,81.8306091483566,2.842529296875,-29.634458541870117,-11.531035423278809,9.182457,0.08255238,3.4301112,-0.011148291,1.5271631E-4,0.0096211275,65.24425,-0.4825233,-69.51681,629.0,383.0,-45.602118405498366,-3.1187907692831356,81.4704865061648,3.1111413889443824,-30.053256981719,-11.458921780636011,
1713689962554,-45.38450578818791,-2.715132217594107,81.8306091483566,2.842529296875,-29.634458541870117,-11.531035423278809,9.182457,0.08255238,3.4301112,-0.00992656,-0.0022907446,0.0022907446,65.24425,-0.4825233,-69.51681,629.0,383.0,-45.521151411773566,-2.9274451411054487,81.60632602299589,3.0757451732020193,-30.01341881280617,-11.46578158526556,
1713689962592,-45.61892298796718,-3.6728034522404647,81.06431330975622,3.64715576171875,-30.00969886779785,-11.36878776550293,9.208778,0.050249275,3.475575,0.035277467,-0.027794369,-0.013286319,65.27711,-0.29250202,-69.3225,628.5,384.75,-45.55662284326034,-3.2800037793552628,81.42017075495961,3.151042499963409,-30.01306495332751,-11.456555055728824,
1713689962636,-45.43183817097877,-4.140858817439366,81.48368870807582,3.96820068359375,-29.805089950561523,-11.467809677124023,9.208778,0.050249275,3.475575,0.023823744,0.045356743,0.02367103,65.21949,-0.29250202,-69.3225,628.25,385.0,-45.50754942056453,-3.674579544153312,81.44094821451287,3.2587230855267193,-29.993281347417167,-11.457625650710872,
1713689962674,-46.72251722804929,-3.7472457974042443,79.97779133271686,3.8348388671875,-30.969009399414062,-11.346132278442383,9.208778,0.050249275,3.475575,0.033750303,0.011453724,0.020463986,65.21949,-0.29250202,-69.3225,627.75,386.25,-46.01617774881848,-3.7085835345125466,80.97595305189655,3.334640436615209,-30.086097402229754,-11.44701985237338,
1713689962715,-45.19776742679557,-3.453248162053323,81.87015386324136,3.5970458984375,-29.661245346069336,-11.380786895751953,9.208778,0.050249275,3.475575,0.044593163,0.03573562,0.018936822,65.21949,-0.29250202,-69.3225,627.25,387.0,-45.64439447081239,-3.586784753205262,81.25651799386121,3.369218776953801,-30.045683383537636,-11.440719447542758,
